,Gross Profit Growth,Gross Margin,grossProfitMargin,Intangibles to Total Assets,Net Income,assetTurnover,Revenue,Interest Expense,Debt to Assets,R&D Expenses,SG&A Expense
0,0.1115,1.0,1.0,0.6659999999999999,11731000000.0,0.37549864115319,94507000000.0,3542000000.0,0.444,0.0,64822000000.0
1,0.0564,0.4847,0.48472850678733,0.315,1609000000.0,0.17934217533538,14144000000.0,1917000000.0,0.4733,0.0,601000000.0
2,0.1187,0.6173,0.61733570460705,0.2841,21053000000.0,0.55366004235599,70848000000.0,-126000000.0,0.206,13543000000.0,6750000000.0
3,0.7216,0.2151,0.21505570858858,0.1484,-22355000000.0,0.3909545057092899,121615000000.0,5059000000.0,0.3329999999999999,0.0,18111000000.0
4,0.0446,1.0,1.0,0.0293,28147000000.0,0.0387541850586979,91247000000.0,0.0,0.1854,0.0,53381000000.0
5,0.1548,0.3834,0.38343718820008,0.0,59531000000.0,0.72621505229339,265595000000.0,0.0,0.313,14236000000.0,16705000000.0
6,0.1556,0.6525,0.65247372236318,0.1689999999999999,16571000000.0,0.4263505995796799,110360000000.0,0.0,0.316,14726000000.0,22223000000.0
7,0.0418,0.5999,0.5999429531154999,0.5862,1175893000.0,0.70606778416738,5770692000.0,350073000.0,0.8428,123219000.0,1311199000.0
8,0.1139,0.1825,0.1824634012860899,0.1724,5327000000.0,1.6888683496043,58472000000.0,1051000000.0,0.1729,1404000000.0,4859000000.0
9,0.0637,0.3391,0.33913059182605,0.4245,534030612.2449,0.5009789587208701,14125255102.0408,642704081.6327,0.3759,0.0,3096632653.0612
10,-0.1098,0.0911,0.091095061682196,0.0,3677000000.0,0.6250019490138,160338000000.0,1228000000.0,0.6011,0.0,11403000000.0
11,0.3693,0.3779,0.3779150579150599,0.0634,337000000.0,1.421202809482,6475000000.0,121000000.0,0.2744,1434000000.0,562000000.0
12,2.55,0.3233,0.32325155068508,0.2794,-1255911000.0,0.43492995483596,1180446000.0,3894000.0,0.0,772185000.0,877846000.0
13,0.3206,0.8325,0.8324617643898399,0.2013,22112000000.0,0.57367415291676,55838000000.0,0.0,0.0,10273000000.0,11297000000.0
14,-0.0139,1.0,1.0,0.0139,22393000000.0,0.04465676415686,84664000000.0,0.0,0.1766,0.0,38356000000.0
15,0.0167,0.3423,0.34233682922197,0.0,-6000000.0,0.096322238121565,47389000000.0,1309000000.0,0.0702,0.0,14688000000.0
16,0.104,0.5349,0.5348977488345901,0.5511,19370000000.0,0.32105199825519,170756000000.0,7957000000.0,0.3319,0.0,36765000000.0
17,0.0045,0.8961,0.8961210091415699,0.0142,18045000000.0,0.037996581799255,72854000000.0,0.0,0.2306,0.0,41841000000.0
18,0.119,0.3955,0.39551606288448,0.0903,6860000000.0,0.4147295611747399,36575000000.0,2345000000.0,0.2243,373000000.0,523000000.0
19,0.057,1.0,1.0,0.0104,8748000000.0,0.046989505946474,40107000000.0,0.0,0.2333,0.0,23995000000.0
20,0.0964,0.1331,0.13305564518495,0.0,186000000.0,1.5098877250482,6818200000.0,151600000.0,0.4415,0.0,322600000.0
21,0.0827,1.0,1.0,0.0207,30709000000.0,0.041573944569599,109029000000.0,0.0,0.2035,0.0,57663000000.0
22,0.0324,0.7953,0.79534316837214,0.3658,3587000000.0,0.28569252308652,39383000000.0,2025000000.0,0.4397,6084000000.0,9715000000.0
23,0.0421,0.4384,0.43838777921257,0.0195,1933000000.0,1.6150603478878,36397000000.0,54000000.0,0.1691,0.0,11511000000.0
24,-0.0006,0.4848,0.48479770169978,0.5839,9750000000.0,0.5648888513228001,66832000000.0,506000000.0,0.2644,0.0,19037000000.0
25,0.1839,0.3635,0.36353130422623,0.1199,43661000.0,1.0707316119986,2274038000.0,62022000.0,0.2637,0.0,341064000.0
26,-0.1691,1.0,1.0,0.0124,4274204896.9072,0.068010551502682,22884213402.0619,0.0,0.1039,0.0,9212738144.3299
27,0.0262,0.7903,0.7903331034354201,0.5559,11153000000.0,0.336509390172,53647000000.0,0.0,0.2618,8006000000.0,14455000000.0
28,0.2427,0.1428,0.14275067616751,0.1058,-360583646.8886,2.208878516337,66862483212.7352,123666859.6237,0.0689,1757508393.6324,8162961505.0651
29,-0.1151,0.3743,0.37432965474449,0.2228,-636781609.1954,0.5709694561834101,25934482758.6207,0.0,0.1193,5310344827.5862,3980459770.1149
30,0.3131,0.6828,0.68281290932464,0.1252,1205596000.0,0.2993689983205,3042359000.0,132606000.0,0.2677,553858000.0,1070179000.0
31,0.2614,0.5148,0.51482156561781,0.7516,12259000000.0,0.41592849732663,20848000000.0,628000000.0,0.349,3768000000.0,1056000000.0
32,0.1967,0.4531,0.45308062365965,0.2031,3313000000.0,0.97844949810015,17253000000.0,234000000.0,0.3011,2019000000.0,1002000000.0
33,0.0002,0.6642,0.66418065096428,0.4904,15457000.0,0.4226052695691999,907208000.0,0.0,0.0466,270323000.0,325465000.0
34,0.1782,0.3493,0.3493204967403099,0.0,20840000000.0,0.8382881373557199,290212000000.0,766000000.0,0.1092,1466000000.0,11480000000.0
35,-0.0079,0.5469,0.54694617663969,0.2889,-4964000000.0,0.6910874747845199,22611000000.0,768000000.0,0.5003,5625000000.0,2986000000.0
36,0.003,0.2019,0.20194237732483,0.1057,308073371.9247,1.9402842291804,12232119826.3386,23117800.2894,0.1524,289564978.2923,855952098.4081
37,0.0126,0.6204,0.62043381309548,0.3149,110000000.0,0.45346742167966,49330000000.0,943000000.0,0.235,6332000000.0,11386000000.0
38,0.0841,1.0,1.0,0.0,6921000000.0,0.19610608583154,36986000000.0,0.0,0.3262,0.0,21416000000.0
39,0.0907,0.7098,0.70980896236869,0.2181,4920000000.0,0.64485794317727,22561000000.0,0.0,0.2101,6345000000.0,4551000000.0
40,0.1086,0.8462,0.8461837061478001,0.6176,10301000000.0,0.29771036475262,20609000000.0,612000000.0,0.2402,0.0,2579000000.0
41,-0.0099,0.5008,0.50084498089691,0.2259,-11079000.0,1.6056747833013,2636746000.0,0.0,0.1228,0.0,1266698000.0
42,0.0009,1.0,1.0,0.0,-27017000.0,0.0057533300230997,1066000.0,0.0,0.0,13432000.0,18707000.0
43,0.0252,1.0,1.0,0.0203,1866000000.0,0.0442508935414319,6178000000.0,0.0,0.1045,0.0,3218000000.0
44,0.0325,1.0,1.0,0.0393,1695000000.0,0.043958054866017,5525000000.0,0.0,0.1116,0.0,2607000000.0
45,0.0451,0.2201,0.2201170696711299,0.1082,1907000000.0,3.2976315294244,122662000000.0,601000000.0,0.4191,0.0,21041000000.0
46,0.3114,0.1244,0.12444259220671,0.1087,1656000000.0,0.92352397813871,23995000000.0,554000000.0,0.3969,0.0,254000000.0
47,0.4971,0.7847,0.78471589182619,0.0045,1096000000.0,0.3087097228085,6582000000.0,226000000.0,0.2579,289000000.0,394000000.0
48,-0.2053,0.7807,0.78067519320287,0.3118,5455000000.0,0.34749901845308,22127000000.0,1077000000.0,0.4291,5018000000.0,4056000000.0
49,-0.2269,0.0959,0.0958524029405159,0.0245,8014000000.0,0.6468269852510999,147049000000.0,655000000.0,0.4616,0.0,9650000000.0
50,0.1718,0.2782,0.27823706248658,0.0,2602000000.0,0.44125450066326,18628000000.0,945000000.0,0.2639,105000000.0,443000000.0
51,0.2521,0.7369,0.73690702087287,0.377,360000000.0,0.4794395924308599,10540000000.0,87000000.0,0.0782,1553000000.0,5760000000.0
52,0.1034,0.6644,0.6644,0.6051,1813000000.0,0.41922861934041,7500000000.0,71000000.0,0.1493,1101000000.0,1894000000.0
53,0.6718,0.1714,0.1713551758050799,0.1681,2360767000.0,1.3987977961437,25067279000.0,135535000.0,0.2395,0.0,860722000.0
54,0.2031,0.4555,0.45546349041947,0.0,537000000.0,0.6662066586165301,3862000000.0,239000000.0,0.3999,0.0,209000000.0
55,0.0351,0.3269,0.3269356883662,0.037,3447000000.0,1.9443767532799,68619000000.0,633000000.0,0.4816,0.0,14444000000.0
56,-0.0562,0.222,0.22203131148692,0.2238,943470000.0,2.3949476974194,21528968000.0,202768000.0,0.3773,0.0,4651262000.0
57,-0.0498,0.7671,0.76711424169051,0.4021,142000000.0,0.64430577223089,9086000000.0,816000000.0,0.5571,0.0,3697000000.0
58,0.1129,0.1322,0.1321651683681199,0.4859,2138000000.0,0.4654147815110599,32815000000.0,575000000.0,0.2277,702000000.0,444000000.0
59,0.0493,0.0627,0.062728421940047,0.1127,428534000.0,1.8548702213606,25441131000.0,122823000.0,0.2144,0.0,1019399000.0
60,-0.0453,0.3593,0.35930266916182,0.4278,2187000000.0,0.77379772883164,10153000000.0,43000000.0,0.0,0.0,1209000000.0
61,0.1823,0.7644,0.7643574634384599,0.6216,5687000000.0,0.55184324032889,32753000000.0,1144000000.0,0.6792,10329000000.0,7399000000.0
62,-0.0237,0.3453,0.34532794592259,0.7024,2131000000.0,0.5139890282131699,15740400000.0,373700000.0,0.5165,0.0,2850100000.0
63,0.0327,0.5758,0.57583121279506,0.4853,15528000000.0,0.49414150263,130863000000.0,4833000000.0,0.4269,0.0,31083000000.0
64,-0.0485,0.3995,0.39949135300102,0.2748,361000000.0,0.66088476536238,9830000000.0,0.0,0.3516,397000000.0,2390000000.0
65,0.074,0.8597,0.85966116332305,0.0,-61900000.0,0.85433315173177,699393000.0,1161000.0,0.0,91030000.0,501436000.0
66,0.3455,0.1321,0.13210607984201,0.0144,1115000000.0,1.2910216718266,14178000000.0,312000000.0,0.2168,0.0,336000000.0
67,-0.0142,0.3984,0.39839616728057,0.2647,-533299000.0,0.86189692118991,4514810000.0,181886000.0,0.5452,0.0,2033032000.0
68,0.3309,0.5367,0.536663396323,0.5524,-1733000000.0,0.33367968572079,23443000000.0,2177000000.0,0.5133,0.0,4165000000.0
