,Gross Profit Growth,Gross Margin,Intangibles to Total Assets,Net Income,assetTurnover,Revenue,Interest Expense,Debt to Assets,R&D Expenses,SG&A Expense,Revenue Growth
44,0.38422592259225924,0.7521436092864664,0.0,0.3639573394387666,0.03293166619352573,0.003487566257017454,0.3714630229740462,0.0,0.47842992770371096,0.3358766128762806,0.35621139327385043
111,0.6535778577857785,0.4126259840545555,0.5737161789066814,0.43668476950711893,0.3154306045094619,0.2879645107175248,0.6231050614786172,0.43887266725910884,0.18231727665828415,0.7425444686060161,0.6864790665751545
123,0.88996399639964,0.4016948302662588,0.12051352843732743,0.0,0.2810681118104356,1.0,0.9694722867958655,0.2597435571918243,0.18231727665828415,0.5797800727588135,0.9201098146877146
179,0.3698244824482448,0.40746126460412174,0.03699613473219216,0.6141980993871902,0.6214366808473122,0.518814131594504,0.3771326210586728,0.0,0.18231727665828415,0.6518322719959821,0.4631434454358271
205,0.520927092709271,0.5292082434939579,0.11554389839867475,0.42559806749190565,0.20707109165306958,0.11534586080715586,0.4052719146197949,0.05484321442173417,0.4849553405022105,0.5446969097851757,0.33205216197666443
275,0.5077632763276327,0.7521436092864664,0.0,0.6693151291202711,0.05394323137367963,0.08984557931501681,0.3714630229740462,0.6157166433921544,0.18231727665828415,0.4166118632363087,0.5069320521619768
279,0.24594959495949595,0.4375971518828662,0.0,0.9253786328790934,0.08110526078932187,0.24106932856259836,0.8489962260650786,0.2480639837501587,0.18231727665828415,0.40552495793115284,0.2748112560054907
288,0.7605760576057605,0.7521436092864664,0.16082274986195472,0.31371608498980713,0.0685213330823126,0.007848821792854744,0.405469017211694,0.3340104100545893,0.9571439105395838,0.3585493765094789,0.8153740562800275
312,0.4477947794779478,0.4221531364388507,0.3318608503589177,0.6271762659522783,0.2490685582865816,0.295386674920174,0.8259584113531093,0.5662054081503111,0.18231727665828415,0.6324851571127859,0.48043925875085797
336,0.6706795679567957,0.5989068846211703,0.0,0.7049698540110793,0.31230929274365227,0.17715877804547078,0.9354662925582178,0.9474419195125048,0.18231727665828415,0.4234893809627908,0.6188057652711051
368,0.5934968496849685,0.7521436092864664,0.0,1.0,0.04782134467186834,0.33763446530425867,0.3714630229740462,0.20413863145867717,0.18231727665828415,0.8298379913261879,0.6115305422100207
370,0.5343159315931593,0.3892092463521035,0.6181667586968524,0.4659752725007016,0.9772057826614255,0.5058801745341148,0.4725186812677175,0.17532055351021963,0.18231727665828415,0.3475470395132868,0.7224433768016473
425,0.6853060306030603,0.5454545454545455,0.33020430701270015,0.45590847784081284,0.2866322550541084,0.07193824490924687,0.3714630229740462,0.0,0.7860281870870375,0.39833665166922877,0.7486616334934798
436,0.7300855085508551,0.7521436092864664,0.0,0.7497852013297119,0.041849133155826466,0.12196234926537892,0.3714630229740462,0.9621683381998224,0.18231727665828415,0.37144181521101216,0.7781743308167468
446,0.3957020702070207,0.38264052549766836,0.014218663721700718,0.8851819205659064,0.49385594579292486,0.8504909708287853,0.5546524907390767,0.17773263932969408,0.18231727665828415,0.7388298056347806,0.40219629375428967
467,0.69014401440144,0.7521436092864664,0.0,0.6199009268176294,0.05596748889533521,0.11910428272537124,0.3714630229740462,0.9013583851720198,0.18231727665828415,0.46929580551304007,0.7294440631434455
488,0.4002025202520252,0.4818231961089104,0.0,0.38323915158543054,0.09596458332224482,0.015466936883140464,0.4834868607933959,0.6907452075663324,0.18231727665828415,0.31111924042712436,0.41372683596431026
499,0.9488073807380738,0.4189941332798476,0.030646051905024847,0.9940610485636614,0.1953909427704734,0.7484011576083325,0.6527979872347086,0.10092674876221913,0.5828144871661958,0.7175968174616912,0.8741249142072753
525,0.4182043204320432,0.5735847164418593,0.12990060739922693,0.39184346091035077,0.09539502739878979,0.13815376511840496,0.7047866944156198,0.59667386060683,0.18231727665828415,0.46727462292880495,0.3673301304049417
532,0.005175517551755168,0.28466128466128465,0.2018221976808393,0.13486760366276546,0.3089432650213547,0.5752854396206103,0.809053965530235,0.35343404849562016,0.18231727665828415,0.7154868381530441,0.346328071379547
535,0.7093834383438344,0.7521436092864664,0.09028161236885698,0.7687307531119537,0.04831268376331042,0.20077385619661725,0.3714630229740462,0.164656595150438,0.18231727665828415,0.7021123600904171,0.752916952642416
546,0.49054905490549056,0.39251867823296394,0.30577029265599115,0.4963722204433939,0.39695658056321675,0.4862763968167269,0.758375410871947,0.5753459438872668,0.18231727665828415,0.8852725178519673,0.5669183253260125
550,0.1625787578757876,0.3298901870330442,0.07288790723357261,0.49203668699475955,0.4695974846765841,0.8445171653277189,0.7445782294390112,0.15005712834835597,0.18231727665828415,0.8126600535679134,0.3326012354152368
559,0.4435193519351935,0.5791505791505792,0.0,0.4290422637245533,0.08796521266676538,0.10410684896291345,0.964440373567383,0.6469468071600865,0.18231727665828415,0.343026863399171,0.4048043925875086
